Variable:,tas
,"Czechia",Jihocesky,Jihomoravsky,Praha,Severocesky,Severomoravsky,Stredocesky,Vychodocesky,Zapadocesky
1929,6.76,6.45,7.17,7.59,6.93,6.50,7.33,6.49,6.24
1930,7.83,7.40,8.29,8.60,7.96,7.75,8.36,7.64,7.19
1931,6.61,6.18,7.16,7.31,6.66,6.62,7.11,6.45,5.80
1932,7.36,6.97,7.81,8.13,7.49,7.26,7.93,7.24,6.63
1933,6.29,5.94,6.76,7.04,6.37,6.16,6.84,6.10,5.61
1934,8.66,8.26,9.22,9.35,8.53,8.70,9.21,8.56,7.80
1935,7.28,6.83,7.79,8.03,7.42,7.22,7.82,7.13,6.54
1936,7.48,7.05,7.99,8.17,7.52,7.48,7.98,7.32,6.73
1937,7.69,7.28,8.19,8.38,7.72,7.69,8.19,7.53,6.99
1938,7.65,7.16,8.11,8.39,7.81,7.66,8.19,7.54,6.85
1939,7.33,6.83,7.87,7.98,7.38,7.46,7.80,7.19,6.49
1940,5.44,5.16,5.88,6.15,5.49,5.17,5.98,5.18,4.94
1941,6.06,5.72,6.59,6.73,6.07,5.95,6.55,5.81,5.42
1942,6.47,6.17,6.98,7.14,6.46,6.30,6.98,6.21,5.89
1943,7.81,7.46,8.25,8.51,7.90,7.61,8.34,7.57,7.26
1944,7.18,6.61,7.70,7.91,7.36,7.23,7.71,7.08,6.35
1945,7.76,7.39,8.23,8.50,7.84,7.64,8.29,7.57,7.11
1946,7.69,7.41,8.20,8.40,7.68,7.57,8.20,7.42,7.06
1947,7.57,7.40,8.01,8.27,7.51,7.34,8.07,7.27,7.14
1948,7.96,7.59,8.33,8.74,8.13,7.76,8.55,7.80,7.39
1949,7.99,7.58,8.42,8.74,8.11,7.89,8.54,7.82,7.36
1950,7.90,7.54,8.44,8.55,7.84,7.86,8.36,7.66,7.25
1951,8.24,7.81,8.76,8.95,8.27,8.31,8.73,8.08,7.48
1952,7.21,6.86,7.71,7.90,7.20,7.14,7.69,7.02,6.59
1953,8.15,7.71,8.45,8.99,8.48,7.93,8.76,8.03,7.60
1954,6.77,6.36,7.18,7.51,6.91,6.66,7.29,6.58,6.19
1955,6.82,6.47,7.31,7.54,6.82,6.78,7.33,6.64,6.13
1956,6.26,6.01,6.71,6.99,6.27,6.08,6.79,6.05,5.67
1957,7.85,7.47,8.28,8.62,7.95,7.71,8.41,7.68,7.22
1958,7.59,7.25,8.07,8.36,7.58,7.49,8.14,7.41,6.93
1959,7.96,7.59,8.27,8.81,8.27,7.69,8.56,7.76,7.45
1960,7.53,7.16,7.96,8.29,7.63,7.43,8.07,7.34,6.93
1961,8.10,7.79,8.51,8.87,8.15,7.94,8.65,7.90,7.51
1962,6.55,6.17,7.01,7.28,6.57,6.51,7.07,6.41,5.85
1963,6.60,6.36,7.03,7.35,6.66,6.44,7.15,6.39,5.94
1964,7.13,6.87,7.44,7.93,7.33,6.88,7.73,6.92,6.63
1965,6.63,6.35,7.02,7.40,6.74,6.38,7.19,6.46,6.07
1966,7.95,7.57,8.43,8.71,7.94,7.88,8.49,7.79,7.28
1967,8.19,7.66,8.59,8.97,8.40,8.08,8.76,8.10,7.56
1968,7.48,7.09,7.96,8.22,7.52,7.41,8.01,7.34,6.79
1969,7.02,6.77,7.45,7.81,7.03,6.80,7.58,6.78,6.44
1970,7.06,6.70,7.57,7.80,7.02,6.97,7.59,6.87,6.38
1971,7.66,7.27,8.04,8.45,7.84,7.54,8.24,7.51,7.02
1972,7.33,6.95,7.81,8.07,7.34,7.35,7.86,7.20,6.55
1973,7.48,7.06,7.90,8.26,7.61,7.41,8.05,7.35,6.80
1974,8.14,7.74,8.62,8.87,8.19,8.06,8.67,8.00,7.43
1975,8.23,7.70,8.67,9.00,8.40,8.26,8.79,8.15,7.49
1976,7.51,7.20,7.92,8.31,7.61,7.28,8.09,7.29,6.94
1977,7.93,7.62,8.40,8.65,7.91,7.83,8.45,7.72,7.28
1978,7.03,6.67,7.42,7.79,7.17,6.88,7.59,6.87,6.40
1979,7.32,6.99,7.90,7.99,7.17,7.40,7.78,7.13,6.55
1980,6.53,6.20,6.97,7.29,6.61,6.36,7.08,6.29,5.98
1981,7.68,7.28,8.27,8.36,7.56,7.74,8.15,7.56,6.85
1982,8.09,7.69,8.40,8.88,8.33,7.92,8.68,7.92,7.53
1983,8.49,8.04,8.97,9.19,8.56,8.53,8.99,8.39,7.69
1984,7.24,6.83,7.76,7.95,7.24,7.27,7.74,7.09,6.47
1985,6.76,6.50,7.20,7.49,6.80,6.59,7.29,6.53,6.13
1986,7.36,7.15,7.84,8.10,7.33,7.20,7.88,7.15,6.71
1987,6.82,6.65,7.40,7.49,6.60,6.71,7.28,6.58,6.09
1988,8.20,7.90,8.65,8.99,8.28,7.87,8.77,8.05,7.62
1989,8.62,8.24,8.94,9.46,8.91,8.32,9.25,8.50,8.09
1990,8.62,8.18,9.00,9.40,8.85,8.43,9.20,8.54,8.01
1991,7.54,7.17,7.91,8.32,7.74,7.33,8.11,7.40,6.93
1992,8.65,8.38,9.04,9.44,8.77,8.35,9.24,8.49,8.07
1993,7.88,7.67,8.35,8.64,7.83,7.65,8.43,7.68,7.24
1994,9.08,8.88,9.60,9.82,8.98,8.84,9.60,8.87,8.45
1995,8.04,7.76,8.48,8.85,8.12,7.77,8.64,7.85,7.46
1996,6.43,6.27,6.93,7.12,6.36,6.25,6.91,6.14,5.83
1997,7.77,7.55,8.11,8.58,7.96,7.41,8.37,7.53,7.28
1998,8.29,7.97,8.73,9.11,8.39,8.06,8.89,8.13,7.66
1999,8.52,8.10,8.90,9.34,8.76,8.30,9.12,8.37,7.91
2000,9.27,8.89,9.73,10.06,9.33,9.10,9.84,9.16,8.57
2001,8.06,7.76,8.51,8.82,8.13,7.86,8.61,7.88,7.47
2002,8.80,8.51,9.25,9.57,8.80,8.63,9.35,8.66,8.12
2003,8.45,8.17,8.84,9.27,8.57,8.15,9.06,8.31,7.87
2004,8.07,7.66,8.52,8.85,8.20,7.92,8.65,7.98,7.39
2005,7.92,7.48,8.21,8.80,8.27,7.61,8.59,7.81,7.37
2006,8.44,8.10,8.69,9.33,8.79,8.03,9.11,8.31,7.95
2007,9.20,8.82,9.59,10.04,9.36,8.94,9.83,9.10,8.54
2008,9.03,8.60,9.54,9.79,9.08,8.96,9.58,8.94,8.23
2009,8.66,8.34,9.17,9.41,8.64,8.48,9.21,8.52,7.96
2010,7.43,7.16,8.04,8.11,7.27,7.35,7.91,7.23,6.66
2011,8.91,8.65,9.24,9.79,9.08,8.52,9.57,8.75,8.38
2012,8.68,8.41,9.20,9.45,8.61,8.48,9.24,8.53,7.96
2013,8.31,7.99,8.92,9.00,8.17,8.27,8.81,8.15,7.49
2014,9.76,9.36,10.23,10.55,9.84,9.66,10.35,9.66,9.00
2015,9.64,9.27,10.12,10.43,9.68,9.50,10.24,9.56,8.89
2016,9.04,8.62,9.50,9.83,9.13,8.91,9.63,8.96,8.27
2017,8.96,8.57,9.41,9.79,9.06,8.78,9.58,8.90,8.22
2018,9.93,9.54,10.36,10.76,10.03,9.72,10.55,9.85,9.22
2019,9.79,9.32,10.28,10.58,9.91,9.71,10.38,9.75,9.00
2020,9.61,9.20,9.93,10.49,9.90,9.33,10.27,9.53,9.00
2021,8.50,8.11,8.96,9.29,8.61,8.35,9.09,8.42,7.77
