Variable:,tas
,Slovakia,"Banska Bystrica",Bratislava,Kosice,Nitra,Presov,Trencin,Trnava,Zilna
1964,7.25,6.98,8.90,7.44,9.02,6.38,7.22,8.87,5.59
1965,6.79,6.49,8.47,7.00,8.52,5.96,6.71,8.44,5.10
1966,8.43,8.15,9.94,8.75,10.08,7.72,8.29,9.93,6.73
1967,8.42,8.11,10.01,8.63,10.09,7.67,8.38,9.98,6.77
1968,8.03,7.76,9.53,8.35,9.68,7.30,7.88,9.52,6.33
1969,7.40,7.15,9.02,7.61,9.17,6.50,7.32,9.03,5.71
1970,7.52,7.24,9.09,7.79,9.20,6.75,7.40,9.07,5.82
1971,8.00,7.75,9.56,8.19,9.71,7.14,7.96,9.55,6.38
1972,8.00,7.80,9.42,8.32,9.65,7.23,7.86,9.41,6.35
1973,7.84,7.58,9.44,8.03,9.56,6.98,7.82,9.42,6.20
1974,8.46,8.20,10.17,8.58,10.22,7.53,8.46,10.14,6.83
1975,8.67,8.42,10.19,8.88,10.32,7.89,8.63,10.17,7.07
1976,7.65,7.41,9.43,7.71,9.49,6.64,7.69,9.40,6.04
1977,8.24,7.96,9.92,8.41,9.95,7.40,8.22,9.88,6.61
1978,7.17,6.90,8.86,7.30,8.92,6.25,7.18,8.83,5.54
1979,8.07,7.86,9.57,8.30,9.79,7.20,7.99,9.58,6.41
1980,6.75,6.48,8.48,6.88,8.54,5.82,6.74,8.45,5.10
1981,8.13,7.85,9.82,8.24,9.94,7.18,8.15,9.80,6.49
1982,8.26,7.99,9.86,8.41,10.00,7.40,8.25,9.86,6.65
1983,8.87,8.58,10.52,8.96,10.63,7.96,8.93,10.52,7.26
1984,7.73,7.46,9.31,7.98,9.42,6.94,7.64,9.29,6.07
1985,6.99,6.70,8.71,7.15,8.79,6.09,6.98,8.68,5.31
1986,7.73,7.42,9.36,8.01,9.47,6.94,7.63,9.33,5.97
1987,7.25,6.97,9.02,7.42,9.12,6.31,7.22,8.99,5.51
1988,8.10,7.75,10.08,8.14,10.03,7.11,8.15,10.04,6.36
1989,8.59,8.24,10.30,8.74,10.38,7.76,8.59,10.28,6.90
1990,8.79,8.47,10.44,8.97,10.61,7.95,8.79,10.44,7.09
1991,7.67,7.30,9.34,7.92,9.42,6.90,7.61,9.31,5.93
1992,8.68,8.37,10.52,8.80,10.57,7.73,8.67,10.49,6.98
1993,8.08,7.77,9.88,8.18,9.95,7.12,8.06,9.85,6.39
1994,9.31,8.97,11.16,9.43,11.20,8.37,9.28,11.14,7.57
1995,8.19,7.89,10.00,8.34,10.06,7.27,8.15,9.97,6.45
1996,6.99,6.74,8.65,7.26,8.85,6.11,6.84,8.64,5.21
1997,7.79,7.50,9.62,7.85,9.72,6.76,7.81,9.59,6.10
1998,8.35,8.03,10.22,8.39,10.28,7.34,8.40,10.19,6.66
1999,8.65,8.32,10.29,8.87,10.42,7.86,8.59,10.27,6.94
2000,9.46,9.15,11.20,9.59,11.33,8.54,9.47,11.20,7.77
2001,8.35,8.05,10.10,8.54,10.16,7.46,8.29,10.01,6.64
2002,9.12,8.83,10.78,9.34,10.95,8.27,9.04,10.76,7.41
2003,8.51,8.21,10.37,8.56,10.42,7.50,8.56,10.30,6.86
2004,8.26,7.97,9.97,8.41,10.04,7.39,8.24,9.93,6.61
2005,7.95,7.65,9.62,8.15,9.76,7.09,7.92,9.60,6.26
2006,8.42,8.14,10.12,8.58,10.26,7.52,8.38,10.09,6.71
2007,9.44,9.16,11.08,9.65,11.27,8.57,9.37,11.08,7.71
2008,9.45,9.16,11.15,9.62,11.32,8.55,9.41,11.15,7.75
2009,9.12,8.83,10.85,9.32,10.97,8.23,9.01,10.79,7.38
2010,8.10,7.77,9.85,8.39,9.93,7.29,7.92,9.76,6.31
2011,8.84,8.53,10.72,8.96,10.67,7.92,8.84,10.56,7.16
2012,9.01,8.71,10.89,9.14,10.91,8.05,9.00,10.76,7.29
2013,8.94,8.64,10.72,9.22,10.73,8.11,8.83,10.59,7.17
2014,10.07,9.78,11.77,10.27,11.83,9.19,10.07,11.69,8.41
2015,9.82,9.50,11.60,9.96,11.62,8.91,9.85,11.52,8.14
2016,9.20,8.87,11.00,9.33,11.02,8.28,9.24,10.93,7.53
2017,9.08,8.74,10.95,9.19,10.97,8.12,9.13,10.86,7.37
2018,10.05,9.77,11.85,10.17,11.87,9.09,10.08,11.75,8.39
2019,10.14,9.83,11.85,10.33,11.94,9.27,10.12,11.79,8.44
2020,9.63,9.29,11.38,9.79,11.45,8.74,9.65,11.31,7.94
2021,8.78,8.48,10.54,8.90,10.66,7.84,8.76,10.50,7.08
